"rois","beta_val_no_motion","sig_no_motion","beta_val_motion_rmsd","sig_motion_rmsd","rmsd_change","beta_val_motion_snr","sig_motion_snr","snr_change","beta_val_motion_qi1","sig_motion_qi1","qi1_change"
"freesurfer.BrainSegVolNotVentSurf",57615.7772165201,TRUE,49166.6548537585,FALSE,TRUE,58573.1203889496,TRUE,FALSE,52163.1817244226,TRUE,FALSE
"freesurfer.lhCortexVol",14449.3244587955,FALSE,11083.9025148134,FALSE,FALSE,14800.3767093038,FALSE,FALSE,11200.2037072877,FALSE,FALSE
"freesurfer.rhCortexVol",13533.107057737,FALSE,10406.3241808766,FALSE,FALSE,13887.3798456984,FALSE,FALSE,10094.8093009991,FALSE,FALSE
"freesurfer.CortexVol",27982.4315164133,FALSE,21490.226695562,FALSE,FALSE,28687.7565548825,FALSE,FALSE,21295.0130081431,FALSE,FALSE
"freesurfer.lhCorticalWhiteMatterVol",13498.3632427118,TRUE,12738.0100988362,TRUE,FALSE,13637.5357109002,TRUE,FALSE,14188.2608632715,TRUE,FALSE
"freesurfer.rhCorticalWhiteMatterVol",13526.6603655423,TRUE,12923.8348217527,TRUE,FALSE,13669.6902738738,TRUE,FALSE,14042.1677390133,TRUE,FALSE
"freesurfer.CorticalWhiteMatterVol",27025.0236083596,TRUE,25661.8449207089,TRUE,FALSE,27307.2259848785,TRUE,FALSE,28230.4286024106,TRUE,FALSE
"freesurfer.SubCortGrayVol",2549.38426941298,FALSE,2417.39476105278,FALSE,FALSE,2538.9822051872,FALSE,FALSE,2572.48694738641,FALSE,FALSE
"freesurfer.TotalGrayVol",29477.886346066,FALSE,22470.0469221452,FALSE,FALSE,30147.4566556301,FALSE,FALSE,22721.6656626694,FALSE,FALSE
"freesurfer.SupraTentorialVol",53887.341408172,TRUE,45907.8779894048,FALSE,TRUE,54851.1914978014,TRUE,FALSE,48514.0368288707,FALSE,TRUE
"freesurfer.SupraTentorialVolNotVent",57318.3107196597,TRUE,49343.8279019446,TRUE,FALSE,58297.1979404587,TRUE,FALSE,51812.8599655627,TRUE,FALSE
"freesurfer.SupraTentorialVolNotVentVox",57298.0056455793,TRUE,49345.8891633138,TRUE,FALSE,58271.1397858579,TRUE,FALSE,51859.1913298915,TRUE,FALSE
"freesurfer.MaskVol",23812.6022466323,FALSE,23177.1420577804,FALSE,FALSE,23485.2615755823,FALSE,FALSE,29776.3412210514,FALSE,FALSE
"freesurfer.BrainSegVol.to.eTIV",0.0417132517607936,TRUE,0.0364126833853781,TRUE,FALSE,0.0423173135568866,TRUE,FALSE,0.0381186428376387,TRUE,FALSE
"freesurfer.MaskVol.to.eTIV",0.0266021580979371,FALSE,0.0264045596831036,FALSE,FALSE,0.0263585051152122,FALSE,FALSE,0.0307700495244908,FALSE,FALSE
"freesurfer.lhSurfaceHoles",-34.0506029078254,TRUE,-25.7497030738995,FALSE,TRUE,-35.1191027103474,TRUE,FALSE,-24.2477909364081,FALSE,TRUE
"freesurfer.rhSurfaceHoles",-30.8633507762057,FALSE,-23.0098049741626,FALSE,FALSE,-32.0041871038869,TRUE,TRUE,-21.0716490284801,FALSE,FALSE
"freesurfer.SurfaceHoles",-64.9139536840311,FALSE,-48.7595080480621,FALSE,FALSE,-67.1232898142343,TRUE,TRUE,-45.3194399648882,FALSE,FALSE
